machine;size;tilew;tileh;threads;kernel;variant;iterations;schedule;places;label;arg;time
cenva;2048;64;64;1;max;ordered;247;;cores;;250;1774627
cenva;2048;32;32;1;max;ordered;247;;cores;;250;1665678
cenva;2048;128;128;2;max;task;51;;cores;;50;247431
cenva;2048;64;64;2;max;task;51;;cores;;50;273071
cenva;2048;32;32;2;max;task;51;;cores;;50;428969
cenva;2048;128;128;2;max;task;126;;cores;;125;545751
cenva;2048;64;64;2;max;task;126;;cores;;125;601861
cenva;2048;32;32;2;max;task;126;;cores;;125;986126
cenva;2048;128;128;2;max;task;247;;cores;;250;1058627
cenva;2048;64;64;2;max;task;247;;cores;;250;1157631
cenva;2048;32;32;2;max;task;247;;cores;;250;1875958
cenva;2048;128;128;2;max;ordered;51;;cores;;50;408497
cenva;2048;64;64;2;max;ordered;51;;cores;;50;419114
cenva;2048;32;32;2;max;ordered;51;;cores;;50;403129
cenva;2048;128;128;2;max;ordered;126;;cores;;125;926386
cenva;2048;64;64;2;max;ordered;126;;cores;;125;925028
cenva;2048;32;32;2;max;ordered;126;;cores;;125;873897
cenva;2048;128;128;2;max;ordered;247;;cores;;250;1778594
cenva;2048;64;64;2;max;ordered;247;;cores;;250;1764237
cenva;2048;32;32;2;max;ordered;247;;cores;;250;1663665
cenva;2048;128;128;4;max;task;51;;cores;;50;132810
cenva;2048;64;64;4;max;task;51;;cores;;50;147067
cenva;2048;32;32;4;max;task;51;;cores;;50;238620
cenva;2048;128;128;4;max;task;126;;cores;;125;310902
cenva;2048;64;64;4;max;task;126;;cores;;125;321668
cenva;2048;32;32;4;max;task;126;;cores;;125;556948
cenva;2048;128;128;4;max;task;247;;cores;;250;578976
cenva;2048;64;64;4;max;task;247;;cores;;250;613038
cenva;2048;32;32;4;max;task;247;;cores;;250;1088754
cenva;2048;128;128;4;max;ordered;51;;cores;;50;410900
cenva;2048;64;64;4;max;ordered;51;;cores;;50;418930
cenva;2048;32;32;4;max;ordered;51;;cores;;50;403775
cenva;2048;128;128;4;max;ordered;126;;cores;;125;928733
cenva;2048;64;64;4;max;ordered;126;;cores;;125;922368
cenva;2048;32;32;4;max;ordered;126;;cores;;125;884964
cenva;2048;128;128;4;max;ordered;247;;cores;;250;1764405
cenva;2048;64;64;4;max;ordered;247;;cores;;250;1785875
cenva;2048;32;32;4;max;ordered;247;;cores;;250;1659094
cenva;2048;128;128;6;max;task;51;;cores;;50;109916
cenva;2048;64;64;6;max;task;51;;cores;;50;109627
cenva;2048;32;32;6;max;task;51;;cores;;50;231727
cenva;2048;128;128;6;max;task;126;;cores;;125;252922
cenva;2048;64;64;6;max;task;126;;cores;;125;259116
cenva;2048;32;32;6;max;task;126;;cores;;125;567631
cenva;2048;128;128;6;max;task;247;;cores;;250;477424
cenva;2048;64;64;6;max;task;247;;cores;;250;470820
cenva;2048;32;32;6;max;task;247;;cores;;250;1112052
cenva;2048;128;128;6;max;ordered;51;;cores;;50;411297
cenva;2048;64;64;6;max;ordered;51;;cores;;50;419790
cenva;2048;32;32;6;max;ordered;51;;cores;;50;404115
cenva;2048;128;128;6;max;ordered;126;;cores;;125;923415
cenva;2048;64;64;6;max;ordered;126;;cores;;125;937729
cenva;2048;32;32;6;max;ordered;126;;cores;;125;874311
cenva;2048;128;128;6;max;ordered;247;;cores;;250;1762876
cenva;2048;64;64;6;max;ordered;247;;cores;;250;1759790
cenva;2048;32;32;6;max;ordered;247;;cores;;250;1664732
cenva;2048;128;128;8;max;task;51;;cores;;50;106357
cenva;2048;64;64;8;max;task;51;;cores;;50;106153
cenva;2048;32;32;8;max;task;51;;cores;;50;241510
cenva;2048;128;128;8;max;task;126;;cores;;125;251035
cenva;2048;64;64;8;max;task;126;;cores;;125;226749
cenva;2048;32;32;8;max;task;126;;cores;;125;561195
cenva;2048;128;128;8;max;task;247;;cores;;250;463326
cenva;2048;64;64;8;max;task;247;;cores;;250;442725
cenva;2048;32;32;8;max;task;247;;cores;;250;1091639
cenva;2048;128;128;8;max;ordered;51;;cores;;50;409890
cenva;2048;64;64;8;max;ordered;51;;cores;;50;420115
cenva;2048;32;32;8;max;ordered;51;;cores;;50;402156
cenva;2048;128;128;8;max;ordered;126;;cores;;125;921106
cenva;2048;64;64;8;max;ordered;126;;cores;;125;925814
cenva;2048;32;32;8;max;ordered;126;;cores;;125;888567
cenva;2048;128;128;8;max;ordered;247;;cores;;250;1747554
