machine;size;tilew;tileh;threads;kernel;variant;iterations;schedule;label;arg;time
cenva;2048;32;32;2;max;ordered;247;;unlabelled;250;1665690
cenva;2048;32;32;2;max;ordered;247;;unlabelled;250;1680276
cenva;2048;32;32;2;max;ordered;247;;unlabelled;250;1669051
cenva;2048;32;32;2;max;ordered;247;;unlabelled;250;1670724
cenva;2048;32;32;2;max;ordered;247;;unlabelled;250;1660514
cenva;2048;32;32;2;max;ordered;247;;unlabelled;250;1680585
cenva;2048;32;32;2;max;ordered;247;;unlabelled;250;1684948
cenva;2048;32;32;2;max;ordered;247;;unlabelled;250;1679108
cenva;2048;32;32;2;max;ordered;247;;unlabelled;250;1676553
cenva;2048;32;32;2;max;ordered;247;;unlabelled;250;1681798
cenva;2048;128;128;4;max;task;51;;unlabelled;50;132241
cenva;2048;128;128;4;max;task;51;;unlabelled;50;137432
cenva;2048;128;128;4;max;task;51;;unlabelled;50;132299
cenva;2048;128;128;4;max;task;51;;unlabelled;50;132059
cenva;2048;128;128;4;max;task;51;;unlabelled;50;135381
cenva;2048;128;128;4;max;task;51;;unlabelled;50;165465
cenva;2048;128;128;4;max;task;51;;unlabelled;50;136345
cenva;2048;128;128;4;max;task;51;;unlabelled;50;136852
cenva;2048;128;128;4;max;task;51;;unlabelled;50;134079
cenva;2048;128;128;4;max;task;51;;unlabelled;50;141473
cenva;2048;64;64;4;max;task;51;;unlabelled;50;142141
cenva;2048;64;64;4;max;task;51;;unlabelled;50;143558
cenva;2048;64;64;4;max;task;51;;unlabelled;50;142262
cenva;2048;64;64;4;max;task;51;;unlabelled;50;143219
cenva;2048;64;64;4;max;task;51;;unlabelled;50;142463
cenva;2048;64;64;4;max;task;51;;unlabelled;50;142996
cenva;2048;64;64;4;max;task;51;;unlabelled;50;142250
cenva;2048;64;64;4;max;task;51;;unlabelled;50;144378
cenva;2048;64;64;4;max;task;51;;unlabelled;50;160938
cenva;2048;64;64;4;max;task;51;;unlabelled;50;142582
cenva;2048;32;32;4;max;task;51;;unlabelled;50;236724
cenva;2048;32;32;4;max;task;51;;unlabelled;50;256071
cenva;2048;32;32;4;max;task;51;;unlabelled;50;237209
